feature,ASV1,ASV2,ASV4,ASV49,ASV68,ASV71,ASV72,ASV76,ASV83,ASV85,ASV89,ASV91,ASV93,ASV96,ASV130,ASV132,ASV134,ASV141,ASV145,ASV148,ASV151,ASV155,ASV157,ASV168,ASV172,ASV229,ASV241,ASV256,ASV277,ASV286,ASV291,ASV310,ASV354,ASV398,ASV415,ASV418,ASV427,ASV439,ASV457,ASV461,ASV462,ASV482,ASV487,ASV495,ASV501,ASV514,ASV556,ASV573,ASV584,ASV625,ASV683,ASV805,ASV820,ASV872,ASV875,ASV892,ASV914,ASV927,ASV934,ASV993,ASV1040,ASV1104,ASV1122,ASV1167,ASV1263,ASV1303,ASV1487,ASV1584,ASV1609,ASV1736,ASV1983,ASV2581
24.16_812.5447n_neg,0.04093892560653776,0.49570901690156555,0.13948832035595105,-0.459158736788003,-0.4954074142185257,-0.4354441870365683,-0.3706564623792238,-0.3257462428156469,0.5142542164066496,-0.41184813302862056,-0.3706564623792238,-0.3706564623792238,-0.3668494029708632,-0.4096530730258031,-0.05199533054384883,-0.16254428989413192,-0.005337469305221555,-0.0899370457861218,0.04881592919120218,-0.11195193630846606,-0.21468298109010012,0.38841148091481914,-0.11253052024540529,-0.09720866145154347,-0.17710252670159832,-0.4008629967824955,0.3692136375916302,-0.32523976479116873,0.03515092125878529,-0.16800316176960023,-0.14003212533987638,-0.06230447853556516,0.012677460582268046,-0.24091580912133595,0.2165914249352268,0.3285502045959144,-0.078209670128601,0.06874116330463027,0.09511697751772893,0.1675349616377845,0.11972136917846639,-0.00144890239800902,-0.005163223279838692,-0.2919827684801104,-0.09002065200420624,0.2541453626420076,0.10651901267758287,-0.2467229894358598,0.11492051226905421,0.3647670124370011,0.11131986958699505,0.10023817295291175,0.06666698756328683,-0.13575891776608648,-0.5111981282221597,-0.2751710257307759,0.20462213692279702,-0.4302940488102339,0.3855170144561086,0.005701017579926971,-0.220681511759559,-0.15511218974469532,-0.30817204973577894,-0.5036711834292552,-0.3356862871637937,0.04515321592591932,-0.27630317785464414,0.18087141269978418,-0.3626115337283597,-0.2681771624302824,0.039167148246040735,-0.0993177273134646
24.16_901.5071m/z_neg,0.07542552054682772,0.5194337006373055,0.13770856507230256,-0.434231069061267,-0.500683050982516,-0.43132407645550086,-0.382944995827417,-0.2860901784728725,0.5124724781081423,-0.41788454803636843,-0.382944995827417,-0.382944995827417,-0.3789222329863591,-0.4074580130229857,-0.05802377466487479,-0.1286091733958109,0.029007985354464975,-0.05702712121075321,0.0478771613221406,-0.13732474095889374,-0.217797552836485,0.42826003630550374,-0.07956963559686553,-0.0685735518766702,-0.1585438786939458,-0.4177668580926007,0.38545810939013053,-0.35954587696777146,0.08173303642286663,-0.1648587175653564,-0.1451761625972596,-0.03614610968475535,-0.018844873838506554,-0.2356457757968067,0.24564116240188444,0.31925635324266605,-0.08024992239282538,0.014254020484572163,0.09211644194934632,0.11745413530370145,0.11071976247331854,0.039844815945248045,0.0239385806610703,-0.2906226003039608,-0.14003212533987638,0.2757492187343624,0.09571708463140546,-0.289631335424705,0.10531879845022983,0.37571686646888103,0.1017181557681707,0.14585554507519494,-0.0033816587894420855,-0.10895145030865273,-0.5379137086166237,-0.24957372101163394,0.21667320027522136,-0.39063798446745956,0.380087197351093,-0.0099017673756626335,-0.19904140661934364,-0.12014741474929501,-0.24163490263373574,-0.5053799915155293,-0.3375434727082684,0.059156428459906964,-0.3432525079405758,0.18856242584977503,-0.3183595555121683,-0.2681771624302824,0.03502753095174375,-0.1071191197912594
24.44_814.5595n_neg,0.327288910691397,-0.06729597790426224,-0.36952169076751945,0.10527488245309036,0.050244159657051285,0.13931123902234385,0.12345689417719713,0.09553506409850197,0.19086871522758717,0.10618602763629324,0.12345689417719713,0.12345689417719713,0.020578687526413418,0.11331997264544988,-0.27504776302180906,-0.3764830678183298,-0.04989373480967975,-0.3326163369296795,-0.5017714260134146,0.205430690283726,0.10656284760845385,0.2617020295039905,-0.2840301231823388,-0.328299019424205,-0.24152754764244921,0.039361848479245044,0.2944890673185284,0.11784372299625223,-0.35951104832156017,0.004716666306365782,0.14060368503514117,0.15623680304529122,0.08805695593629427,0.1671353425779268,0.3285183545861724,0.18713295292351392,0.16979432732267288,-0.09288103670592185,-0.2361421492317119,-0.12464062159379408,-0.12152169051949595,-0.07679182709447806,-0.2680182266170812,0.013374987065470894,-0.3586537087786629,-0.15692801022641084,-0.1737310094093535,0.289631335424705,-0.16172886713582302,0.6115949720722952,-0.1563279031127343,-0.10443977301680626,0.10289904602159489,0.08288180305646946,0.06843991381952577,0.08394410224071548,-0.35366181838339195,0.06463423474049594,-0.11602661813875471,-0.39397032012863753,-0.17478546459404729,0.22504173973549593,0.11779303553950228,0.283234940299912,-0.1833970725168721,-0.21147708724797656,0.004115737505282684,0.37606402229955127,0.19579112663998352,-0.16090629745816945,0.029295753159640225,-0.12872297588361423
23.93_513.2916m/z_neg,-0.38091000346952525,0.6476382415939,0.46206896551724136,-0.35054532740722477,-0.33688709050052884,-0.4272039658744333,-0.36093994755972214,-0.2902102890539399,0.2314032615186267,-0.3844098829934026,-0.36093994755972214,-0.36093994755972214,-0.2834371228638008,-0.3904462980011506,0.23787235760881567,0.17139692898065045,0.1492170766633678,0.24318173274012822,0.20864115889893622,-0.12397063324814235,-0.035372636262513905,0.3431900865950534,0.17278713749351704,0.23837472795223452,0.08775589272189976,-0.40255338291350606,0.42351658617518856,-0.2125196819251883,0.028863764610872478,-0.0476158693785498,0.05372661135489134,-0.011414560953080638,0.12780250803205354,-0.05608821181106102,0.04571061630782893,0.03491473886760864,-0.03060378396336561,0.09219132603731352,0.3639649644448114,0.1378907056911524,0.3321592874199556,0.013523089048084186,0.19831471233925885,-0.2677264360054428,0.10745322270978268,0.34296121546613306,0.3171566095780426,-0.13945212446374686,0.3339596087609852,0.13983876086546695,0.31955703803274865,-0.09363565856679182,0.10893772243131289,0.029758748278435623,-0.46016836791812726,-0.09448416888977393,0.1180512328400752,-0.41226856501806375,0.38494545476084385,0.12692265454258467,-0.1448222420922106,-0.2764329190911514,-0.32695526351099685,-0.4353188599782961,-0.14741410259267568,0.1128830398147983,0.02551757253275264,0.32912232134960734,-0.3702521630606518,-0.2681771624302824,0.15794232138240816,0.04230755151419489
23.60_422.2657n_neg,0.0013349649654305791,0.17177583512511682,-0.01268075639599555,-0.31270868889342907,-0.1153103464129327,-0.31596098018561164,-0.19461607623766491,-0.23355876856426222,0.29287323281712613,-0.11716132765038038,-0.19461607623766491,-0.19461607623766491,-0.22910938779406936,-0.2077075527665994,0.2361140614068498,0.08188691155029641,0.1417910324126248,0.15977642770942307,-0.030509955744501358,0.4431338075351013,0.08253615127919911,0.38438185171800826,0.14858148782974567,0.16804287987359842,0.1659673378970068,-0.19342847013420417,0.3613234655752157,0.2472713280261625,0.007144496190810019,-0.26884997946284955,0.2854940677847684,0.16004165669631812,0.34297670386081924,0.22472927819599617,-0.09697485889604829,0.14719451062171698,0.391048350643005,0.0020691320058249915,0.0813145139031689,-0.04401722852681737,0.011101981603015681,0.18642544187716056,-0.20746769906260926,-0.11720115784488903,-0.148319740921216,0.1917342228196492,-0.00750133892095654,0.03218125949163389,0.0015002677841913083,0.385754232664771,-9.001606705147849e-4,-0.31902149056570417,0.05289880534912977,0.23142960438023077,-0.32358871533968764,0.17240537590245603,-0.1699445872760249,-0.0486688062388595,0.21490644541956536,-0.0891159063809637,0.16836477405793943,0.16402938068311954,-0.04170510177209405,-0.32595514245676144,0.005803704826483293,-0.028863764610872478,0.22691432779125195,0.4946117077494099,0.19324425019588615,-0.2681771624302824,0.36842593919243194,0.26374707646083195
22.85_325.2017m/z_neg,-0.04783624459459575,0.04129007457854734,0.03492769744160178,-0.3140440996645042,-0.008792727939983975,-0.2840301231823388,-0.14403304320673,-0.242829017371664,0.11536755482834324,-0.06667494758557947,-0.14403304320673,-0.14403304320673,-0.18959830774335562,-0.18246436273419897,0.23736998726539682,0.08336235139804951,0.08655982829772348,0.1482202709883013,0.03074464771176676,0.3870465551499453,0.06963292547274749,0.12782879285438714,0.17175710984825018,0.1492039919953923,0.1816096269320282,-0.1596207475139937,0.13343673263053887,0.26219671449260656,0.013431652838722835,-0.29625156467126035,0.1437472633590976,0.029963222501836678,0.42932048944815837,0.11255285457387412,-0.44129968828025495,0.030393405776839175,0.2668196572213431,0.0993183362795996,0.11312019092802464,-0.06961908593527237,-0.0021003748978678316,0.14585617473290802,-0.17367205577639236,-0.10541303365159266,0.12488579341535913,0.21453829313935707,-0.027904980785958333,-0.07508960548047906,-0.012302195830368727,0.1868318844189518,-0.010501874489339157,-0.24969508951144484,0.07874434038272285,0.18027407014953148,-0.2458433746411913,0.08883770461349262,-0.12739695543991447,-0.013647866299785996,0.14403304320673,0.041707444400518365,0.06444470871426777,0.028863539090162666,-0.11779303553950228,-0.3703841526998849,0.08264475672912211,0.07030184251757059,0.3306309129243756,0.31082301419962916,0.05443948399258078,-0.2467229894358598,0.3490015811191923,0.22474011407185795
24.16_535.2218m/z_neg,0.21759928936518438,0.4295536487922908,-0.01757508342602892,-0.2686401334479494,-0.40999234280153846,-0.3314113948646147,-0.27577755296526674,-0.11304553406803872,0.5351896414141096,-0.30538772289197513,-0.27577755296526674,-0.27577755296526674,-0.32788708792085375,-0.25654763782928725,-0.01507111030256488,-0.010573985575563803,0.15896375974246804,0.022861092643958334,-0.026050808366458855,-0.034052974662416115,-0.22402669632925473,0.46273575276710727,0.033733405382489916,0.007033184807863611,-0.04109414915980201,-0.3412165147311242,0.3460072493080582,-0.3755850982451442,0.24148397124937865,-0.11319999135277878,-0.09430734971869224,0.10724931228832016,-0.09079802849462248,-0.2427979638800964,0.17558003086465132,0.29690087296052814,0.041485129372562275,-0.03126688364357765,0.026704766558605285,-0.03458496527107079,-0.022504016762869623,0.17628312509109742,0.1297846578977635,-0.17840872577162026,-0.29235278412794596,0.2937524321446582,-0.042907658627871416,-0.2681771624302824,-0.04350776574154794,0.32735501116141125,-0.03090551635434095,0.2061785174211089,-0.20990439200179803,-0.05754997600953665,-0.46226959334241097,-0.0805562236749467,0.15666382358151645,-0.07493451119316463,0.3212165487388185,-0.1323236185656734,-0.11224318270529293,0.11803544847440506,-0.00191015733307301,-0.4173763750724193,-0.2648810882806975,0.16946744964601365,-0.431054908053273,0.2307303944997247,-0.14962899109071912,-0.13945212446374686,0.01082669138508443,-0.06391140760654973
24.18_969.4948m/z_neg,0.05273111613450787,0.5363147256031204,0.15283648498331479,-0.39550415670008787,-0.5067123501413622,-0.3932130535806267,-0.3683702235981646,-0.2881502337634062,0.5285081227947075,-0.4036166580180552,-0.3683702235981646,-0.3683702235981646,-0.3706907579757937,-0.39209259300326366,-0.09369206904761167,-0.15565890393795084,0.016940663447007544,-0.0761199018804327,0.018775357381231608,-0.13465391941674348,-0.21557285873192436,0.4421398702056298,-0.10789539584170439,-0.08490058803778215,-0.18134450338906175,-0.4151105370295842,0.41098513650205976,-0.35954587696777146,0.0760174394702186,-0.17496585965042594,-0.16146561391230643,-0.03590830633156617,-0.02843862779265535,-0.271406716213255,0.26871007156658316,0.3117207980913836,-0.0573537580943074,0.04046302589168872,0.10591890556390636,0.11318715906895896,0.1557277959990578,0.0586805471193653,0.007744834919758039,-0.2953831889204844,-0.15803625574071764,0.23794247057274148,0.1407251181571447,-0.2467229894358598,0.14732629640758646,0.36066081717504606,0.1455259750665569,0.1080411445001444,-0.017149841003599148,-0.11387025167698919,-0.5658299892535356,-0.24091580912133595,0.22897020369606252,-0.39939321945222794,0.3549385707594418,-0.049508836878313166,-0.22615098888291016,-0.0978544374032344,-0.24768373418846695,-0.49085512278220034,-0.3693477751573968,0.013145872991090435,-0.32843585292155814,0.17185436279979496,-0.2954376675152922,-0.289631335424705,-0.009234530887277896,-0.08791569215361066
24.48_443.2567m/z_neg,0.18268802848242097,-0.19073117482802393,-0.29747469313011404,0.221257663974794,0.2962222732083662,0.23100939714260815,0.27580823411938793,0.2299792549033992,-0.03942534556510013,0.36085312958731053,0.27580823411938793,0.27580823411938793,0.16958725025472085,0.28731043853833776,-0.13213809947927088,-0.07796107774949033,-0.08123139524540772,-0.06193281623906893,-0.4088788910290791,0.38063441186810637,0.1526309943808962,0.08373605485165582,-0.05305232531926119,-0.05087065616835048,0.010738698072499645,0.08477022019847963,0.174531454927276,0.33340784749746877,-0.20278335969710437,-0.30830212939865353,0.1454781255614181,0.07015979382889095,0.26214422454763797,0.3448491131280329,-0.0636601828292601,-0.10739360746651769,0.3720473830598532,0.0042536889739092304,-0.07262103918407214,-0.25335182480887247,-0.06271817020442594,0.17569896066778895,-0.37507948786708867,0.06926293450626762,-0.23879562653549077,-0.2574745934708012,-0.0969280812250219,0.22529387833353695,-0.08822556000048433,0.37347719281516173,-0.0828239951024955,-0.2131048520714467,-0.1630624022695473,0.24719726720353377,0.14590130964931194,0.2499779597347313,-0.36501566619904885,0.2964234293323768,-0.2976728246998368,-0.2772803314300936,-0.01070234143152574,0.3181209753515897,0.2037727833940789,0.17901756111046968,-0.08532395246192757,-0.2376523799691928,0.07711006039090058,0.284599145612622,0.45880715761073076,-0.03218483976193385,0.11018976405590968,0.05251521428600258
24.70_520.3638m/z_neg,-0.07342307309868185,0.5846765809105903,0.2854282536151279,0.1609169979145546,-0.021604988652532055,0.059999110336795045,-0.06287156647912817,0.03321839155985648,0.029621399212682722,-0.05240705756726617,-0.06287156647912817,-0.06287156647912817,-0.09850331762643222,0.02277374752923085,-2.5118517170941466e-4,0.018442998096913608,-0.06196105671713718,0.048234393270769234,-0.2767018294059008,0.0750055716420538,-0.012235817575083427,0.41303699267310734,7.725207339501507e-4,0.06555932981615722,0.03446606058564039,-0.15648145898497415,0.5729657267213921,-0.13321464338706773,0.17546882644629408,-0.07254681985505465,0.09287845048053026,-0.040188766688971415,-0.25868872269222637,-0.12384578312643676,0.3276639505430354,-0.18085332363077855,0.2577518693803459,-0.09885852916719405,0.3825682849687836,-0.34450218653131554,0.3537631435123105,0.3192414950279874,-0.12837650609417112,-0.2489107762353736,-0.46982206950766686,0.15752811734008734,0.33756025144304436,-0.2467229894358598,0.33515982298833824,0.42544745353033586,0.3399606798977504,-0.30281531889068253,-0.4487944307702425,0.16158262494985293,-0.5445175599500867,0.1731582378059602,-0.20658965747013158,-0.005922658960284489,0.05372661135489134,-0.36216464310378177,-0.15695021310485877,0.03684207835085804,-0.002865235999609515,-0.40456031442536444,-0.36377621852397285,0.10002294667134026,-0.1495384626919375,0.1326036749998418,-0.14230672131393923,-0.07508960548047906,0.04712795073507341,0.02310412387654615
